,Mes,Casos_r,Casos_p
160,2020-05-31,12444.0,12444.0
161,2020-06-30,5258.0,5258.0
162,2020-07-31,2690.0,7009.868982025651
163,2020-08-31,1409.0,3392.113162079275
164,2020-09-30,1276.0,3098.7127230152087
165,2020-10-31,1104.0,3102.576501438961
166,2020-11-30,1316.0,3221.6016326706144
167,2020-12-31,1883.0000000000002,3402.416356395822
168,2021-01-31,1955.0,3610.694774266212
169,2021-02-28,2714.0,5713.230705013014
170,2021-03-31,4777.0,7586.457989629203
171,2021-04-30,3863.0,14968.301660373914
172,2021-05-31,2851.0,23108.937917014577
173,2021-06-30,1780.0,21312.858441551234
174,2021-07-31,820.0,8848.763775182842
175,2021-08-31,602.0000000000001,4573.906947957813
176,2021-09-30,617.0000000000001,3570.19160823957
177,2021-10-31,586.0,3396.3097352336213
178,2021-11-30,1068.0,3568.3779750995864
179,2021-12-31,2082.0,4608.345532098352
180,2022-01-31,7585.0,9034.481381215206
181,2022-02-28,8244.0,31311.011493260667
182,2022-03-31,22018.0,58952.21055562915
183,2022-04-30,43064.99999999999,96561.56982205228
184,2022-05-31,42098.0,100634.47269002341
185,2022-06-30,18418.0,63257.25184513589
186,2022-07-31,8683.0,21975.71832889844
187,2022-08-31,4991.0,11044.41089497355
188,2022-09-30,4439.0,9031.963786589291
