Date,High,Low
162,2020-07-31,2690.0,3763.2805
163,2020-08-31,1409.0,2478.1956
164,2020-09-30,1276.0,3243.0542
165,2020-10-31,1104.0,3890.0974
166,2020-11-30,1316.0,3801.3171
167,2020-12-31,1883.0000000000002,3994.3984
168,2021-01-31,1955.0,4964.0464
169,2021-02-28,2714.0,5359.244
170,2021-03-31,4777.0,5970.496
171,2021-04-30,3863.0,7783.0474
172,2021-05-31,2851.0,6982.5547
173,2021-06-30,1780.0,5470.9604
174,2021-07-31,820.0,4522.119
175,2021-08-31,602.0000000000001,3927.4985
176,2021-09-30,617.0000000000001,4060.4858
177,2021-10-31,586.0,4259.9834
178,2021-11-30,1068.0,4272.1006
179,2021-12-31,2082.0,4744.581
180,2022-01-31,7584.714285714287,5705.011
181,2022-02-28,8243.714285714286,10468.338
182,2022-03-31,22018.285714285714,11243.158
183,2022-04-30,43064.71428571428,21655.037
184,2022-05-31,42097.85714285715,40223.35
185,2022-06-30,18417.857142857145,36795.992
186,2022-07-31,8682.57142857143,10371.994
187,2022-08-31,4990.999999999999,-475.91794
188,2022-09-30,4439.285714285714,1970.2332
