;Periodo;Casos;PRECIPITACAO;PRESSAO_ATM;TEMPERATURA;UMIDADE_RELATIVA
0;2007.01;1625;5.096436214492544;933.733980667986;23.176435876121964;78.75510204081634
1;2007.02;3189;2.696713699643509;935.0513241304824;23.130648847156802;74.68367346938776
2;2007.03;7899;1.0110486370702376;935.4574827477605;23.71252283754767;68.96938775510203
3;2007.04;8351;1.5504247504951867;935.4918198049043;22.48916636874949;73.18367346938776
4;2007.05;4547;0.5663053834243907;933.2153193154488;19.598401504096632;71.61224489795919
5;2007.06;1059;0.1070162113245114;935.4389346762498;18.737691103763414;69.35714285714286
6;2007.07;341;0.26888748401639573;934.7304703284472;18.99839759681664;66.21428571428571
7;2007.08;117;0.07830687406109141;937.8104502803607;19.9049274862441;59.285714285714285
8;2007.09;120;0.2349834619355306;936.0352847499684;21.676527861858393;56.785714285714285
9;2007.10;264;1.109043783682337;932.2916262143099;23.661910184658332;58.0
10;2007.11;365;3.0541365442437463;930.1244800227518;23.253861803956788;70.28571428571429
11;2007.12;626;3.471190578685001;930.6573204383045;23.332869162346896;73.42857142857143
12;2008.01;1556;4.621674181399161;931.573134195983;22.581547952503943;76.71428571428571
13;2008.02;3456;3.718750666396374;932.0422928981305;23.022624872110857;77.64285714285714
14;2008.03;9981;3.5180155987427835;931.9543147911496;22.484328715768633;79.28571428571429
15;2008.04;18181;2.162932126082334;930.9979263298676;22.291351778075313;78.57142857142857
16;2008.05;10463;0.24389140360171369;934.1705000407711;19.4272469812374;73.14285714285714
17;2008.06;2943;0.21708363742146058;935.6431459196148;18.785202107138414;72.35714285714286
18;2008.07;393;0.0643381949689738;937.0114055510459;17.82107520486466;63.357142857142854
19;2008.08;207;0.2814628715681402;934.3912541325483;20.480239853058983;59.785714285714285
20;2008.09;186;1.0907222343006138;933.8204531705157;21.112956224276274;60.857142857142854
21;2008.10;354;1.0492375991505676;932.9476750214064;23.46519080904943;62.714285714285715
22;2008.11;765;4.4598066823347065;930.3872750701884;22.208625966561186;76.42857142857143
23;2008.12;709;6.8829437063241805;929.4742449990748;22.070686045797625;80.5
24;2009.01;3039;5.374502602117503;930.8139299546216;22.7637268132324;80.14285714285714
25;2009.02;6492;3.1009106698926763;931.0002247226945;23.51542749177756;76.35714285714286
26;2009.03;15054;3.534355947733774;930.1747436994032;23.4755764231572;76.92857142857143
27;2009.04;13451;1.7801278931900941;932.3096369329796;21.392876882757296;79.07142857142857
28;2009.05;9506;0.4937124151772968;933.8327580352459;19.702524133103147;77.5
29;2009.06;2288;0.6586150998913215;935.1217654883927;18.220571749565682;77.0
30;2009.07;838;0.199557649024183;935.2555843882885;19.440598957754162;70.92857142857143
31;2009.08;256;0.4876462983859547;935.2854747556784;19.832243097465597;67.07142857142857
32;2009.09;155;1.3967550867425766;933.4305617874833;22.604017026275688;67.92857142857143
33;2009.10;338;4.03092221149074;930.4915097949513;22.688421308798155;75.57142857142857
34;2009.11;1309;2.6503436108446112;929.1343593532941;23.866656174970835;72.21428571428571
35;2009.12;3031;5.044660655173277;929.312279404987;22.944914391824916;78.85714285714286
36;2010.01;14627;2.0577600865728467;931.6033288732979;24.1953287232356;72.42857142857143
37;2010.02;28887;1.763819348059375;931.697373592032;24.49306337637685;69.92857142857143
38;2010.03;55242;4.1246508582310675;930.8010128516551;23.420076977881802;78.71428571428571
39;2010.04;62142;1.2551083773953446;932.9553268108696;21.571898301105794;75.5
40;2010.05;37691;0.6659164404040384;933.0472319881849;19.95983608812846;75.28571428571429
41;2010.06;6179;0.1651267460210369;936.6036094493805;17.657939905268588;71.07142857142857
42;2010.07;1635;0.2171479257658622;937.0707365254932;18.936781620501304;69.0
43;2010.08;635;0.0301049837030914;936.2954291631777;19.11685373129554;57.92857142857143
44;2010.09;501;0.8339435960854991;933.3800117575381;21.634816961551348;59.0
45;2010.10;426;2.1604902536751487;930.5509991043302;22.430284156047197;70.0
46;2010.11;862;5.2040082446136;929.0153163332853;22.120735600258858;78.85714285714286
47;2010.12;2182;5.682339764294223;927.3348001847415;23.6441616169449;77.07142857142857
48;2011.01;3882;3.3124236931660573;929.2777487190724;23.539093920099855;75.5
49;2011.02;5362;1.9583524357794406;928.1815855536291;24.01756889687318;70.21428571428571
50;2011.03;6543;6.032853158836071;930.1811272913736;22.46811593380952;82.5
51;2011.04;7873;1.8248931204650836;932.4985455679771;21.815877684743764;78.21428571428571
52;2011.05;6422;0.1957899244445187;933.3465813515695;19.55586754260429;74.57142857142857
53;2011.06;1491;0.2751601521652464;934.188113793014;18.165634791199217;72.71428571428571
54;2011.07;508;0.16504764593503365;935.4678032031791;18.53994596412932;68.21428571428571
55;2011.08;303;0.0889431421828304;934.5512641978719;20.934779970097825;58.714285714285715
56;2011.09;268;0.07743184495259639;935.2873666839831;21.111781263080527;54.642857142857146
57;2011.10;348;3.174717334265564;930.8290194023639;21.55302987851901;73.5
58;2011.11;428;3.9805775923990083;930.2376980451018;20.94254188045007;75.21428571428571
59;2011.12;670;6.005084426004297;929.0972410207978;22.20787011930516;80.35714285714286
60;2012.01;2283;5.676569616844251;930.1898983226354;22.208354186257107;78.85714285714286
61;2012.02;2541;1.20226739547985;930.3934288372014;23.352994647509718;70.14285714285714
62;2012.03;3851;2.20997258865446;931.5121723207866;22.92367113181319;73.28571428571429
63;2012.04;4741;1.0553944152426504;931.512506915379;22.443719836340076;74.71428571428571
64;2012.05;3865;1.140572063985337;934.185070179626;19.275807796213833;77.42857142857143
65;2012.06;2513;0.7004386944622524;935.2550215066898;19.755322568893273;75.5
