DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Minas Gerais
Casos Prováveis por Macrorreg.Saúde/Munic.de notif e Mês notificação
Período:2017
"Macrorreg.Saúde/Munic.de notif";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
".....  UBERLANDIA";118;205;363;328;322;177;48;41;27;35;37;64;1765
".....  COROMANDEL";-;-;-;-;-;-;-;-;-;-;1;-;1
".....  ABADIA DOS DOURADOS";-;2;-;-;-;-;-;-;-;-;-;-;2
".....  GURINHATA";9;11;6;5;4;1;2;2;5;4;3;4;56
".....  PRATA";2;6;15;22;11;9;6;-;1;-;1;-;73
"3114 VALE DO ACO";169;265;369;433;500;529;248;145;88;101;78;120;3045
".....  CARATINGA";1;1;1;1;2;1;-;-;-;3;1;2;13
".....  ENTRE FOLHAS";-;-;1;-;-;-;-;-;-;-;-;-;1
".....  DOM CAVATI";-;-;-;1;-;-;-;-;-;-;-;-;1
".....  SANTANA DO PARAISO";2;2;1;2;4;5;1;-;1;-;-;-;18
".....  IPATINGA";86;123;175;198;284;347;164;93;53;42;26;33;1624
".....  JAGUARACU";2;-;-;-;-;-;2;1;-;3;1;1;10
".....  JOANESIA";-;-;-;-;-;-;-;-;1;1;1;1;4
".....  MESQUITA";-;1;2;-;-;-;-;-;-;-;-;-;3
".....  MARLIERIA";-;1;-;-;2;1;-;-;-;1;-;-;5
".....  BELO ORIENTE";1;1;-;-;-;-;-;-;-;-;2;5;9
".....  VARGEM ALEGRE";-;-;-;-;-;-;-;-;-;-;7;-;7
".....  NAQUE";-;-;-;-;-;-;-;-;-;1;-;-;1
".....  CORREGO NOVO";-;1;-;-;1;1;-;-;-;-;-;-;3
".....  TIMOTEO";13;15;18;51;28;14;2;7;5;12;24;61;250
".....  CORONEL FABRICIANO";45;49;124;121;144;145;78;39;27;37;14;16;839
".....  PERIQUITO";-;-;2;1;-;-;-;-;-;-;-;-;3
".....  IMBE DE MINAS";5;1;-;-;-;-;-;-;-;-;1;-;7
".....  PINGO-D'AGUA";2;-;-;-;8;11;-;-;-;-;-;-;21
".....  INHAPIM";8;67;40;2;-;-;-;-;-;-;-;-;117
".....  IPABA";2;1;5;55;27;3;1;5;-;-;-;-;99
".....  PIEDADE DE CARATINGA";1;1;-;1;-;1;-;-;-;1;-;-;5
".....  ACUCENA";1;1;-;-;-;-;-;-;1;-;1;1;5
"Total";4095;4448;5424;3684;3100;1644;627;534;504;638;684;1021;26403
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikun
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epide
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 25/01/2022, sujeitos a revisão.
 *Data da publicação dos dados 03/2022.
 
