ANO;MES;MACRORREGIAO;PRECIPITACAO;PRESSAO_ATM;TEMPERATURA;UMIDADE_RELATIVA
2007;1;3101;0.6513440860215054;908.4793906810036;21.447356630824373;88.0
2007;1;3102;0.6434205476135646;897.0668848499878;20.91521526043235;86.0
2007;1;3103;0.2896432062561095;923.7453323558162;23.03978983382209;83.0
2007;1;3105;0.5353099730458221;914.3812668463612;22.38975741239892;85.0
2007;1;3106;0.0491935483870967;988.4845430107526;26.44018817204301;75.0
2007;1;3107;0.6164199192462988;978.620861372813;24.586406460296097;84.0
2007;1;3108;0.156393001345895;939.8453566621804;24.641857335127863;74.0
2007;1;3110;0.5642725598526703;934.0213627992632;22.71160220994475;85.0
2007;1;3111;0.0721774193548387;974.0584677419356;25.9182123655914;75.0
2007;1;3112;0.5772675757393724;919.2031746742406;22.83665165833183;84.0
2007;1;3113;0.4346028052239126;929.6837569409564;23.697519104664757;82.0
2007;1;3114;0.3747311827956989;957.575;24.12137096774193;79.0
2007;2;3101;0.2089729259811227;909.305837428737;22.0167819885033;78.0
2007;2;3102;0.1506526982383356;897.9360238964811;21.14023843201357;78.0
2007;2;3103;0.2090958543224695;923.9475433438308;22.969651563479918;79.0
2007;2;3105;0.1331343283582089;914.953134328358;22.774776119402983;75.0
2007;2;3106;0.3454545454545454;989.4576751117736;24.65543964232489;84.0
2007;2;3107;0.1105812220566319;979.8955290611028;24.96870342771982;78.0
2007;2;3108;0.3520833333333333;940.3675595238096;23.070535714285715;80.0
2007;2;3110;0.0013698630136986;938.48698630137;21.862328767123287;75.0
2007;2;3111;0.1934253246753247;981.4473500372578;27.09119813474321;68.0
2007;2;3112;0.339694891863117;919.5141873927836;23.23919002056556;77.0
2007;2;3113;0.2359385462839064;929.6852026375112;24.695349845321324;75.0
2007;2;3114;0.2846497764530551;958.6111773472428;23.62071535022355;76.0
2007;3;3101;0.0967803565523251;910.6962411537876;22.329154385642763;74.0
2007;3;3102;0.1690190329936246;899.1900003102361;22.013141413436333;71.0
2007;3;3103;0.0615584152102715;925.2672916123236;24.104774765962382;66.0
2007;3;3105;0.0481830417227456;916.3318977119784;23.809959623149396;67.0
2007;3;3106;0.0314939434724091;990.4227456258412;25.322476446837143;78.0
2007;3;3107;0.0936742934051144;980.8628532974428;26.071601615074027;72.0
