MACRORREGIAO;MUNICIPIO
3106;ALVARENGA
3106;CANTAGALO
3106;CAPITAO ANDRADE
3106;CENTRAL DE MINAS
3106;CONSELHEIRO PENA
3106;COROACI
3106;CUPARAQUE
3106;DIVINO DAS LARANJEIRAS
3106;ENGENHEIRO CALDAS
3106;FERNANDES TOURINHO
3106;FREI INOCENCIO
3106;GALILEIA
3106;GONZAGA
3106;GOVERNADOR VALADARES
3106;ITABIRINHA
3106;ITANHOMI
3106;ITUETA
3106;JAMPRUCA
3106;MANTENA
3106;MATHIAS LOBATO
3106;RESPLENDOR
3106;SANTA MARIA DO SUACUI
3106;SAO GERALDO DO BAIXIO
3106;SAO JOSE DA SAFIRA
3106;SARDOA
3106;TARUMIRIM
3106;TUMIRITINGA
3107;ALEM PARAIBA
3107;ANDRELANDIA
3107;ASTOLFO DUTRA
3107;BOM JARDIM DE MINAS
3107;BRAS PIRES
3107;CARANGOLA
3107;CATAGUASES
3107;CHACARA
3107;DIVINESIA
3107;DONA EUSEBIA
3107;ERVALIA
3107;ESPERA FELIZ
3107;EUGENOPOLIS
3107;FERVEDOURO
3107;GOIANA
3107;GUARANI
3107;GUARARA
3107;GUIDOVAL
3107;GUIRICEMA
3107;JUIZ DE FORA
3107;LEOPOLDINA
3107;LIBERDADE
3107;LIMA DUARTE
3107;MAR DE ESPANHA
3107;MIRAI
3107;MURIAE
3107;PIAU
3107;PIRAUBA
3107;PRESIDENTE BERNARDES
3107;RECREIO
3107;RIO NOVO
3107;RIO POMBA
3107;ROCHEDO DE MINAS
3107;RODEIRO
3107;SANTANA DE CATAGUASES
3107;SANTOS DUMONT
3107;SAO FRANCISCO DO GLORIA
3107;SAO GERALDO
3107;SAO JOAO NEPOMUCENO
3107;SENADOR FIRMINO
3107;SILVEIRANIA
3107;TABULEIRO
3107;TOCANTINS
3107;UBA
3107;VISCONDE DO RIO BRANCO
3108;BOCAIUVA
3108;BOTUMIRIM
3108;BRASILIA DE MINAS
3108;BURITIZEIRO
3108;CAMPO AZUL
3108;CAPITAO ENEAS
3108;CATUTI
3108;CONEGO MARINHO
3108;CORACAO DE JESUS
3108;CRISTALIA
3108;CURRAL DE DENTRO
3108;ESPINOSA
3108;FRANCISCO SA
3108;GLAUCILANDIA
3108;GUARACIAMA
3108;IBIAI
3108;IBIRACATU
3108;ICARAI DE MINAS
3108;INDAIABIRA
3108;ITACARAMBI
3108;JAIBA
3108;JANAUBA
3108;JANUARIA
3108;JAPONVAR
3108;JEQUITAI
3108;JOAQUIM FELICIO
3108;LAGOA DOS PATOS
3108;LASSANCE
3108;LONTRA
3108;LUISLANDIA
3108;MAMONAS
3108;MANGA
3108;MATIAS CARDOSO
3108;MATO VERDE
3108;MIRABELA
3108;MONTALVANIA
3108;MONTE AZUL
3108;MONTES CLAROS
3108;NINHEIRA
3108;NOVA PORTEIRINHA
3108;PADRE CARVALHO
3108;PAI PEDRO
3108;PEDRAS DE MARIA DA CRUZ
3108;PINTOPOLIS
3108;PIRAPORA
3108;PORTEIRINHA
3108;RIACHO DOS MACHADOS
3108;RIO PARDO DE MINAS
3108;SALINAS
3108;SANTA FE DE MINAS
3108;SAO FRANCISCO
3108;SAO JOAO DA LAGOA
3108;SAO JOAO DA PONTE
3108;SAO ROMAO
3108;TAIOBEIRAS
3108;VARZEA DA PALMA
3108;VARZELANDIA
3108;VERDELANDIA
3109;ARINOS
3109;BONFINOPOLIS DE MINAS
3109;BRASILANDIA DE MINAS
3109;BURITIS
3109;CABECEIRA GRANDE
3109;CARMO DO PARANAIBA
3109;CHAPADA GAUCHA
3109;FORMOSO
3109;GUIMARANIA
3109;JOAO PINHEIRO
3109;LAGAMAR
3109;LAGOA FORMOSA
